Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery				,region_total,puntos_miles,puntos_IGV
2780,Portugal,"This feels very ripe, perhaps overripe, with its seemingly sweet flavor of black fruit juice and its soft structure. It's appealing and does have some tannins, but it is not for aging.",Morgado da Canita,84,5.0,Alentejano,,,Roger Voss,@vossroger,Herdade dos Machados 2009 Morgado da Canita Red (Alentejano),Portuguese Red,Herdade dos Machados				,,84000,15.12
3950,Portugal,"On the dry side, with caramel and strawberry flavors, this is an attractive, bright ros̩, as fresh as they come.",Escolha,83,5.0,Vinho Verde,,,Roger Voss,@vossroger,Adega Cooperativa Ponte de Barca 2010 Escolha Ros̩ (Vinho Verde),Ros̩,Adega Cooperativa Ponte de Barca				,,83000,14.94
24883,Portugal,"This is a fruity, fresh, forward wine that has delicious red berry fruitiness and soft tannins. It's bright and smooth, the structure just lightly supporting the fruit. It's ready to drink.",Xairel,85,5.0,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo 2012 Xairel Red (Tejo),Portuguese Red,Adega Cooperativa do Cartaxo				,,85000,15.299999999999999
49624,Portugal,"A sweet, soft, clean wine, anonymous almost. Yes, there is freshness, lightness, but all the time the awkward, unbalancing sweetness pulls it down. Drink very chilled.",,82,5.0,Vinho Verde,,,Roger Voss,@vossroger,Lagosta 2008 White (Vinho Verde),Portuguese White,Lagosta				,,82000,14.76
1620,Portugal,"The very local Tamarez grapes make an appearance in this lemon-colored and flavored wine. It is fruity, soft and bright with acidity. Drink now.",Brado Branco,85,6.0,Alentejano,,,Roger Voss,@vossroger,Adega Cooperativa de Borba 2016 Brado Branco White (Alentejano),Portuguese White,Adega Cooperativa de Borba				,,85000,15.299999999999999
3948,Portugal,"Soft, sweet raspberry fruit-flavored wine. It has a line of acidity while its main character is the light, sweet aftertaste. Screwcap.",Coreto,83,6.0,Lisboa,,,Roger Voss,@vossroger,DFJ Vinhos 2010 Coreto Ros̩ (Lisboa),Ros̩,DFJ Vinhos				,,83000,14.94
7044,Portugal,"With a light prickle on the tongue, this is a fresh and fruity wine that has sweetness balanced by a citric edge. It's crisp and ready to drink.",Casal da Seara,84,6.0,Vinho Verde,,,Roger Voss,@vossroger,Campelo 2014 Casal da Seara White (Vinho Verde),Portuguese White,Campelo				,,84000,15.12
7611,Portugal,"A light spritz gives this wine some of the character of club soda and lime, with a slight brinyness to add interest.",Casal Garcia,82,6.0,Vinho Verde,,,Joe Czerwinski,@JoeCz,Quinta da Aveleda NV Casal Garcia White (Vinho Verde),White Blend,Quinta da Aveleda				,,82000,14.76
14409,Portugal,"This is a structured wine, probably because of the Touriga Nacional in the blend. That also gives a perfumed edge to this ripe, full wine with its juicy red fruit acidity. It is fruity and will be ready to drink from late 2016.",Casaleiro Colheita Seleccionada,86,6.0,Tejo,,,Roger Voss,@vossroger,Caves Velhas 2015 Casaleiro Colheita Seleccionada Red (Tejo),Portuguese Red,Caves Velhas				,,86000,15.479999999999999
25897,Portugal,This wine comes from the heart of the Ḍo region. It is firm and dark with tannins and a concentrated texture. Fine acidity cuts through the black-fruit character. The wine is ready to drink.,Vinha do Poeta,87,6.0,Ḍo,,,Roger Voss,@vossroger,Caves da Montanha 2010 Vinha do Poeta Red (Ḍo),Portuguese Red,Caves da Montanha				,,87000,15.66
41072,Portugal,"With hints of pineapple and peach flavors, this is a ripe wine with a refreshing juicy character. It's a food wine thanks to its mineral texture and tangy acidity. It could age a few more months, so hold until 2016.",Briḍo Classico Branco,87,6.0,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo 2014 Briḍo Classico Branco Ferṇo Pires (Tejo),Ferṇo Pires,Adega Cooperativa do Cartaxo				,,87000,15.66
44188,Portugal,"Despite its light touch, this is fruity and full, with its blackberry fruit dominating the warm spice note and acidity. Soft tannins keep the wine together. Drink now. Screwcap.",Coreto,85,6.0,Lisboa,,,Roger Voss,@vossroger,DFJ Vinhos 2010 Coreto Red (Lisboa),Portuguese Red,DFJ Vinhos				,,85000,15.299999999999999
46561,Portugal,"Soft, fruity and off dry, this is a typically fresh and light-hearted Vinho Verde. Attractive apple and lemon flavors shine through the lightly prickly texture. Drink immediately.",Alian̤a,85,6.0,Vinho Verde,,,Roger Voss,@vossroger,Caves Alian̤a 2013 Alian̤a White (Vinho Verde),Portuguese White,Caves Alian̤a				,,85000,15.299999999999999
47102,Portugal,"The Borba cooperative is in one of the most productive Alentejo wine regions. With this simple and fruity wine, it has captured warmth as well as ripe tannins. Berry fruits and acidity give it a lift. Drink now.",Brado,85,6.0,Alentejano,,,Roger Voss,@vossroger,Adega Cooperativa de Borba 2015 Brado Red (Alentejano),Portuguese Red,Adega Cooperativa de Borba				,,85000,15.299999999999999
50955,Portugal,"This is a structured wine, probably because of the Touriga Nacional in the blend. That also gives a perfumed edge to this ripe, full wine with its juicy red fruit acidity. It is fruity and will be ready to drink from late 2016.",Casaleiro Colheita Seleccionada,86,6.0,Tejo,,,Roger Voss,@vossroger,Caves Velhas 2015 Casaleiro Colheita Seleccionada Red (Tejo),Portuguese Red,Caves Velhas				,,86000,15.479999999999999
