len,min,max,mean
1907,4.0,230.0,23.604663487016428
1,14.0,14.0,14.0
1177,6.0,850.0,35.786701208981
1635,7.0,150.0,30.846774193548388
1,13.0,13.0,13.0
31,10.0,45.0,23.185185185185187
68,8.0,55.0,14.014705882352942
108,12.0,120.0,35.575471698113205
2258,5.0,400.0,21.021543985637344
44,13.0,65.0,25.0
6,11.0,21.0,16.0
6,15.0,45.0,23.666666666666668
36,25.0,80.0,51.63636363636363
11174,5.0,2500.0,41.57794888963285
37,9.0,40.0,18.27027027027027
1051,5.0,775.0,40.592233009708735
242,8.0,79.0,21.84518828451883
61,10.0,764.0,50.81967213114754
4,10.0,20.0,13.5
259,8.0,100.0,31.508064516129032
10005,5.0,595.0,39.739835514884746
20,13.0,75.0,30.4
4,16.0,30.0,23.0
6,15.0,20.0,15.833333333333334
31,8.0,58.0,26.677419354838708
30,8.0,42.0,17.9
11,14.0,40.0,21.09090909090909
733,8.0,120.0,26.662905500705218
8,10.0,68.0,20.5
2963,5.0,1000.0,25.64736012608353
67,7.0,100.0,13.73134328358209
7,15.0,40.0,25.0
1,16.0,16.0,16.0
39,7.0,60.0,24.0
737,8.0,330.0,24.293478260869566
3409,4.0,770.0,27.875925377554044
4,30.0,160.0,97.0
43,15.0,120.0,25.767441860465116
27177,4.0,750.0,36.34488875748392
5,6.0,10.0,9.2
61,10.0,120.0,26.737704918032787
